Date,GFNORTEO.MX,GFINBURO.MX,CEMEXCPO.MX,GCARSOA1.MX,KIMBERA.MX,BIMBOA.MX,ALFAA.MX
2015-05-01,78.494667,33.306656,13.3321,61.911755,30.46434,40.88633,30.148067
2015-06-01,77.87162,34.116871,13.3229,62.695984,29.711048,39.885754,29.918919
2015-07-01,76.571358,35.036366,12.6942,70.018478,33.092133,42.406818,31.901556
2015-08-01,72.817062,33.858265,12.84,72.842201,33.251518,41.523956,32.748409
2015-09-01,74.981377,33.465569,10.9005,72.516754,33.85368,41.994816,32.848045
2015-10-01,80.550636,31.808575,9.6801,70.487495,35.64286,45.977505,34.282715
2015-11-01,81.039642,30.371872,9.71709,70.638725,35.025867,45.006355,33.405972
2015-12-01,86.28125,29.787615,8.71857,68.300453,36.430504,45.075024,33.973862
2016-01-01,85.954254,27.910324,7.58136,70.1576,39.128716,49.695335,33.595268
2016-02-01,83.220215,31.013601,9.24556,70.475136,35.916122,50.519341,32.708561
2016-03-01,88.947006,33.034557,11.6032,77.528427,37.513397,50.097527,34.56168
2016-04-01,89.1661,32.354519,12.2788,79.164253,36.746346,51.451252,32.253059
2016-05-01,88.107109,29.481119,11.2788,75.151665,39.925274,53.628189,32.273006
2016-06-01,93.593826,30.090748,10.8654,75.522438,39.278671,56.397816,31.58486
2016-07-01,94.195656,29.246264,13.7404,74.099861,38.622967,55.086926,30.567602
2016-08-01,92.838081,31.837952,14.9712,74.148247,41.434052,52.721413,30.507765
2016-09-01,94.810249,29.70248,14.7692,74.980507,40.294842,50.375607,30.17865
2016-10-01,103.789619,29.770428,15.7308,79.838562,37.446823,50.178482,28.582952
2016-11-01,91.956993,27.23698,15.3942,74.036072,33.446201,46.669632,27.106932
2016-12-01,95.388351,30.449896,15.9038,81.664452,34.980122,46.334518,28.014484
2017-01-01,93.197121,30.003387,19.26,81.537964,35.092545,45.565723,26.987253
2017-02-01,93.103882,27.838795,16.355801,82.948822,35.486,46.738625,25.620937
2017-03-01,100.386223,30.119869,16.2981,83.639648,38.062199,45.920555,27.32634
2017-04-01,102.861603,30.857578,16.6539,84.194267,37.640644,45.417885,25.832916
2017-05-01,101.426544,29.993681,15.42,76.35183,34.869457,42.675301,26.881411
2017-06-01,108.941719,30.51704,17.049999,74.366898,36.326294,45.224117,25.782988
2017-07-01,114.231277,31.66881,17.200001,72.65686,33.904545,44.638981,24.644621
2017-08-01,118.006081,29.434177,16.709999,70.70929,33.549603,42.982746,24.99412
2017-09-01,121.548592,32.791054,16.549999,70.249321,35.413475,43.607555,22.957045
2017-10-01,110.127396,32.436661,15.58,60.854034,31.551924,43.95467,20.001287
2017-11-01,110.524239,32.407127,14.26,58.084385,32.53339,43.091843,20.740227
2017-12-01,104.368408,31.619591,14.7,64.469643,33.831993,43.151344,21.589008
2018-01-01,103.923172,33.302952,15.07,65.085251,35.639999,43.022419,21.988436
2018-02-01,109.527306,29.650751,12.45,65.720711,34.349998,43.746399,22.357904
2018-03-01,107.562462,29.621218,12.03,63.576023,34.040001,39.452091,23.290001
2018-04-01,113.263382,30.674547,11.7,66.723549,33.939999,43.171181,24.01
2018-05-01,102.790726,27.731131,11.86,61.72921,33.189999,37.746273,20.48
2018-06-01,113.311775,27.799999,13.06,66.574615,33.549999,38.689999,23.1
2018-07-01,129.960007,30.700001,13.89,77.510002,34.299999,39.66,25.360001
2018-08-01,130.860001,30.360001,13.53,70.699997,33.560001,39.75,25.129999
2018-09-01,135.300003,29.360001,13.14,62.07,33.299999,39.91,24.129999
2018-10-01,111.760002,26.33,10.14,59.779999,29.280001,38.049999,21.41
2018-11-01,97.540001,26.549999,10.09,59,28.950001,37.959999,21.530001
